city,country,year,month,month_num,lat,lon,avg_temp_monthly,max_temp_monthly,min_temp_monthly,avg_humidity_monthly,month-year,date,alpha-3,region
Florianopolis,Brazil,2022,January  ,1,-27.58,-48.57,24.8,29.7,20.9,81.0,January  -2022,2022-01-01,BRA,Americas
Barcelona,Spain,2022,January  ,1,41.38,2.18,12.8,16.4,10.1,65.0,January  -2022,2022-01-01,ESP,Europe
Buenos Aires,Argentina,2022,January  ,1,-34.59,-58.67,24.2,27.0,21.1,52.0,January  -2022,2022-01-01,ARG,Americas
Medellin,Colombia,2022,January  ,1,6.29,-75.54,15.9,20.8,13.1,90.0,January  -2022,2022-01-01,COL,Americas
Tallinn,Estonia,2022,January  ,1,59.43,24.73,1.4,4.4,-0.7,89.0,January  -2022,2022-01-01,EST,Europe
Rome,Italy,2022,January  ,1,41.9,12.48,12.4,17.8,8.9,77.0,January  -2022,2022-01-01,ITA,Europe
Lima,Peru,2022,January  ,1,-12.05,-77.05,22.1,25.3,19.4,70.0,January  -2022,2022-01-01,PER,Americas
Berlin,Germany,2022,January  ,1,52.52,13.4,13.4,14.4,11.8,67.0,January  -2022,2022-01-01,DEU,Europe
Lisbon,Portugal,2022,January  ,1,38.72,-9.13,15.7,17.6,13.5,86.0,January  -2022,2022-01-01,PRT,Europe
Berlin,Germany,2022,October  ,10,52.52,13.4,14.391666666666666,21.6,5.5,73.75,October  -2022,2022-10-01,DEU,Europe
Lisbon,Portugal,2022,October  ,10,38.72,-9.13,18.875,23.6,15.1,81.83333333333333,October  -2022,2022-10-01,PRT,Europe
Rome,Italy,2022,October  ,10,41.9,12.48,19.85,27.0,13.0,61.0,October  -2022,2022-10-01,ITA,Europe
Barcelona,Spain,2022,October  ,10,41.38,2.18,21.274999999999995,26.4,17.6,61.75,October  -2022,2022-10-01,ESP,Europe
Florianopolis,Brazil,2022,October  ,10,-27.58,-48.57,20.85833333333333,30.8,14.6,82.83333333333333,October  -2022,2022-10-01,BRA,Americas
Tallinn,Estonia,2022,October  ,10,59.43,24.73,7.483333333333333,11.9,1.1,83.16666666666667,October  -2022,2022-10-01,EST,Europe
Lima,Peru,2022,October  ,10,-12.05,-77.05,16.941666666666666,22.5,13.6,73.66666666666667,October  -2022,2022-10-01,PER,Americas
Buenos Aires,Argentina,2022,October  ,10,-34.59,-58.67,18.416666666666668,32.7,7.1,57.083333333333336,October  -2022,2022-10-01,ARG,Americas
Medellin,Colombia,2022,October  ,10,6.29,-75.54,16.650000000000002,23.6,13.3,93.66666666666669,October  -2022,2022-10-01,COL,Americas
Tallinn,Estonia,2022,November ,11,59.43,24.73,3.3366666666666656,13.7,-5.7,86.86666666666666,November -2022,2022-11-01,EST,Europe
Barcelona,Spain,2022,November ,11,41.38,2.18,15.713333333333331,22.5,8.3,61.0,November -2022,2022-11-01,ESP,Europe
Medellin,Colombia,2022,November ,11,6.29,-75.54,17.006666666666664,24.2,12.8,93.66666666666669,November -2022,2022-11-01,COL,Americas
Florianopolis,Brazil,2022,November ,11,-27.58,-48.57,20.023333333333333,29.8,12.6,77.83333333333333,November -2022,2022-11-01,BRA,Americas
Buenos Aires,Argentina,2022,November ,11,-34.59,-58.67,22.74333333333334,36.3,7.5,48.86666666666667,November -2022,2022-11-01,ARG,Americas
Lisbon,Portugal,2022,November ,11,38.72,-9.13,16.083333333333332,22.2,10.3,74.16666666666667,November -2022,2022-11-01,PRT,Europe
Berlin,Germany,2022,November ,11,52.52,13.4,6.729999999999999,17.9,-3.4,74.7,November -2022,2022-11-01,DEU,Europe
Rome,Italy,2022,November ,11,41.9,12.48,13.753333333333334,22.9,6.2,68.96666666666667,November -2022,2022-11-01,ITA,Europe
Lima,Peru,2022,November ,11,-12.05,-77.05,18.350000000000005,24.0,13.9,74.73333333333333,November -2022,2022-11-01,PER,Americas
Lima,Peru,2022,December ,12,-12.05,-77.05,20.48064516129033,25.3,16.6,76.09677419354838,December -2022,2022-12-01,PER,Americas
Florianopolis,Brazil,2022,December ,12,-27.58,-48.57,22.70967741935484,32.7,17.8,82.0,December -2022,2022-12-01,BRA,Americas
Buenos Aires,Argentina,2022,December ,12,-34.59,-58.67,25.206451612903223,39.6,12.3,47.16129032258065,December -2022,2022-12-01,ARG,Americas
Tallinn,Estonia,2022,December ,12,59.43,24.73,-2.922580645161291,4.2,-12.2,92.6774193548387,December -2022,2022-12-01,EST,Europe
Medellin,Colombia,2022,December ,12,6.29,-75.54,16.638709677419353,25.3,11.5,87.45161290322581,December -2022,2022-12-01,COL,Americas
Berlin,Germany,2022,December ,12,52.52,13.4,1.964516129032258,15.0,-6.8,84.45161290322581,December -2022,2022-12-01,DEU,Europe
Lisbon,Portugal,2022,December ,12,38.72,-9.13,14.658064516129032,18.9,7.8,84.2258064516129,December -2022,2022-12-01,PRT,Europe
Barcelona,Spain,2022,December ,12,41.38,2.18,12.206451612903225,20.8,5.6,71.48387096774194,December -2022,2022-12-01,ESP,Europe
Rome,Italy,2022,December ,12,41.9,12.48,11.8,17.7,5.9,79.0,December -2022,2022-12-01,ITA,Europe
Rome,Italy,2023,January  ,1,41.9,12.48,8.816666666666666,17.0,0.9,70.56666666666666,January  -2023,2023-01-01,ITA,Europe
Medellin,Colombia,2023,January  ,1,6.29,-75.54,16.736666666666668,27.3,11.7,87.4,January  -2023,2023-01-01,COL,Americas
Lima,Peru,2023,January  ,1,-12.05,-77.05,21.79666666666667,27.3,18.5,73.03333333333333,January  -2023,2023-01-01,PER,Americas
Tallinn,Estonia,2023,January  ,1,59.43,24.73,-0.9299999999999998,4.2,-11.8,90.2,January  -2023,2023-01-01,EST,Europe
Florianopolis,Brazil,2023,January  ,1,-27.58,-48.57,24.440000000000005,33.1,17.3,80.13333333333334,January  -2023,2023-01-01,BRA,Americas
Berlin,Germany,2023,January  ,1,52.52,13.4,4.089999999999999,12.6,-2.3,81.06666666666666,January  -2023,2023-01-01,DEU,Europe
Buenos Aires,Argentina,2023,January  ,1,-34.59,-58.67,27.469999999999995,39.2,16.3,46.53333333333333,January  -2023,2023-01-01,ARG,Americas
Barcelona,Spain,2023,January  ,1,41.38,2.18,9.476666666666665,17.0,2.3,56.96666666666667,January  -2023,2023-01-01,ESP,Europe
Lisbon,Portugal,2023,January  ,1,38.72,-9.13,11.696666666666662,18.2,3.9,71.53333333333333,January  -2023,2023-01-01,PRT,Europe
Rome,Italy,2023,February ,2,41.9,12.48,8.707142857142857,18.4,0.2,66.53571428571429,February -2023,2023-02-01,ITA,Europe
Lisbon,Portugal,2023,February ,2,38.72,-9.13,11.717857142857143,20.3,5.7,67.64285714285714,February -2023,2023-02-01,PRT,Europe
Tallinn,Estonia,2023,February ,2,59.43,24.73,-1.4035714285714285,5.1,-9.1,88.17857142857143,February -2023,2023-02-01,EST,Europe
Lima,Peru,2023,February ,2,-12.05,-77.05,23.425,28.5,20.2,73.67857142857143,February -2023,2023-02-01,PER,Americas
Buenos Aires,Argentina,2023,February ,2,-34.59,-58.67,26.010714285714283,42.0,9.7,45.07142857142857,February -2023,2023-02-01,ARG,Americas
Medellin,Colombia,2023,February ,2,6.29,-75.54,17.682142857142857,28.0,10.3,85.67857142857143,February -2023,2023-02-01,COL,Americas
Florianopolis,Brazil,2023,February ,2,-27.58,-48.57,24.11428571428572,33.2,16.9,81.85714285714286,February -2023,2023-02-01,BRA,Americas
Berlin,Germany,2023,February ,2,52.52,13.4,3.910714285714287,12.1,-4.0,78.39285714285714,February -2023,2023-02-01,DEU,Europe
Barcelona,Spain,2023,February ,2,41.38,2.18,9.714285714285715,18.1,1.5,60.21428571428572,February -2023,2023-02-01,ESP,Europe
Tallinn,Estonia,2023,March    ,3,59.43,24.73,-0.4258064516129029,8.2,-13.6,87.96774193548387,March    -2023,2023-03-01,EST,Europe
