city,country,year,week,lat,lon,avg_temp_week,max_temp_week,min_temp_weekday,date,alpha-3,region
Berlin,Germany,2023,35,52.52,13.4,17.014285714285716,22.8,12.2,35-2023,DEU,Europe
Buenos Aires,Argentina,2023,28,-34.59,-58.67,10.185714285714287,16.8,3.1,28-2023,ARG,Americas
Barcelona,Spain,2023,03,41.38,2.18,9.428571428571429,14.8,3.2,03-2023,ESP,Europe
Florianopolis,Brazil,2023,23,-27.58,-48.57,19.514285714285716,29.5,14.1,23-2023,BRA,Americas
Medellin,Colombia,2023,16,6.29,-75.54,17.271428571428572,25.1,13.2,16-2023,COL,Americas
Buenos Aires,Argentina,2023,08,-34.59,-58.67,25.071428571428573,35.6,13.3,08-2023,ARG,Americas
Florianopolis,Brazil,2023,24,-27.58,-48.57,15.728571428571428,21.7,12.3,24-2023,BRA,Americas
Rome,Italy,2022,53,41.9,12.48,13.6,16.6,10.9,53-2022,ITA,Europe
Buenos Aires,Argentina,2022,45,-34.59,-58.67,21.45714285714286,30.5,13.5,45-2022,ARG,Americas
Lima,Peru,2023,08,-12.05,-77.05,23.814285714285713,28.2,21.0,08-2023,PER,Americas
Rome,Italy,2023,31,41.9,12.48,26.12857142857143,35.0,19.2,31-2023,ITA,Europe
Rome,Italy,2023,06,41.9,12.48,5.2,12.1,0.2,06-2023,ITA,Europe
Lima,Peru,2022,44,-12.05,-77.05,17.285714285714285,22.2,13.6,44-2022,PER,Americas
Rome,Italy,2023,29,41.9,12.48,30.25714285714286,41.0,22.1,29-2023,ITA,Europe
Tallinn,Estonia,2022,48,59.43,24.73,-1.885714285714286,1.1,-7.4,48-2022,EST,Europe
Lisbon,Portugal,2023,02,38.72,-9.13,14.042857142857144,18.2,8.8,02-2023,PRT,Europe
Barcelona,Spain,2022,01,41.38,2.18,12.8,16.4,10.1,01-2022,ESP,Europe
Medellin,Colombia,2023,06,6.29,-75.54,18.557142857142857,28.0,12.8,06-2023,COL,Americas
Medellin,Colombia,2023,01,6.29,-75.54,15.933333333333335,21.8,11.7,01-2023,COL,Americas
Barcelona,Spain,2023,28,41.38,2.18,27.028571428571432,32.3,22.7,28-2023,ESP,Europe
Lima,Peru,2023,14,-12.05,-77.05,24.55714285714286,29.5,21.2,14-2023,PER,Americas
Medellin,Colombia,2023,07,6.29,-75.54,17.87142857142857,25.9,13.1,07-2023,COL,Americas
Medellin,Colombia,2022,50,6.29,-75.54,16.857142857142858,22.7,12.6,50-2022,COL,Americas
Tallinn,Estonia,2023,07,59.43,24.73,0.9857142857142858,5.1,-5.4,07-2023,EST,Europe
Lima,Peru,2023,09,-12.05,-77.05,22.95714285714286,28.1,20.7,09-2023,PER,Americas
Medellin,Colombia,2022,51,6.29,-75.54,16.828571428571426,22.7,12.5,51-2022,COL,Americas
Buenos Aires,Argentina,2023,12,-34.59,-58.67,23.22857142857143,37.5,17.8,12-2023,ARG,Americas
Berlin,Germany,2023,31,52.52,13.4,18.5,25.4,14.1,31-2023,DEU,Europe
Berlin,Germany,2023,34,52.52,13.4,23.314285714285717,31.6,16.6,34-2023,DEU,Europe
Buenos Aires,Argentina,2023,04,-34.59,-58.67,27.32857142857143,36.0,21.9,04-2023,ARG,Americas
Buenos Aires,Argentina,2023,27,-34.59,-58.67,14.785714285714286,22.1,9.3,27-2023,ARG,Americas
Tallinn,Estonia,2022,44,59.43,24.73,7.6000000000000005,11.7,3.1,44-2022,EST,Europe
Medellin,Colombia,2023,12,6.29,-75.54,15.185714285714285,29.4,8.5,12-2023,COL,Americas
Barcelona,Spain,2022,45,41.38,2.18,17.057142857142857,21.5,12.2,45-2022,ESP,Europe
Lisbon,Portugal,2023,39,38.72,-9.13,22.342857142857145,29.8,17.3,39-2023,PRT,Europe
Tallinn,Estonia,2023,32,59.43,24.73,17.814285714285713,31.0,10.7,32-2023,EST,Europe
Lima,Peru,2022,50,-12.05,-77.05,20.442857142857143,23.6,17.0,50-2022,PER,Americas
Berlin,Germany,2022,47,52.52,13.4,1.4285714285714286,6.7,-3.4,47-2022,DEU,Europe
Tallinn,Estonia,2023,17,59.43,24.73,7.8571428571428585,17.9,0.7,17-2023,EST,Europe
Barcelona,Spain,2023,35,41.38,2.18,23.085714285714285,27.0,18.2,35-2023,ESP,Europe
Berlin,Germany,2023,37,52.52,13.4,20.657142857142855,30.5,10.7,37-2023,DEU,Europe
Medellin,Colombia,2023,20,6.29,-75.54,19.085714285714285,28.9,14.9,20-2023,COL,Americas
Florianopolis,Brazil,2023,31,-27.58,-48.57,17.771428571428572,26.1,9.7,31-2023,BRA,Americas
Barcelona,Spain,2022,51,41.38,2.18,12.928571428571429,20.8,8.8,51-2022,ESP,Europe
Medellin,Colombia,2023,15,6.29,-75.54,17.714285714285715,24.9,13.7,15-2023,COL,Americas
Barcelona,Spain,2023,31,41.38,2.18,25.828571428571426,32.7,20.3,31-2023,ESP,Europe
Berlin,Germany,2023,17,52.52,13.4,9.485714285714284,16.4,2.2,17-2023,DEU,Europe
Florianopolis,Brazil,2023,38,-27.58,-48.57,21.514285714285716,30.9,15.2,38-2023,BRA,Americas
Buenos Aires,Argentina,2023,14,-34.59,-58.67,19.685714285714287,26.3,14.6,14-2023,ARG,Americas
Rome,Italy,2023,13,41.9,12.48,13.085714285714287,18.4,7.2,13-2023,ITA,Europe
Lisbon,Portugal,2023,40,38.72,-9.13,22.814285714285713,29.6,17.9,40-2023,PRT,Europe
Lisbon,Portugal,2023,10,38.72,-9.13,15.042857142857143,21.0,10.7,10-2023,PRT,Europe
Lima,Peru,2023,04,-12.05,-77.05,22.499999999999996,27.3,19.4,04-2023,PER,Americas
Lisbon,Portugal,2023,32,38.72,-9.13,24.385714285714283,34.7,18.4,32-2023,PRT,Europe
Florianopolis,Brazil,2023,07,-27.58,-48.57,24.657142857142855,33.2,19.0,07-2023,BRA,Americas
Tallinn,Estonia,2022,45,59.43,24.73,7.942857142857144,11.3,1.0,45-2022,EST,Europe
Barcelona,Spain,2023,18,41.38,2.18,18.24285714285714,23.2,13.7,18-2023,ESP,Europe
Tallinn,Estonia,2023,15,59.43,24.73,6.628571428571428,14.3,-0.5,15-2023,EST,Europe
Barcelona,Spain,2023,37,41.38,2.18,23.8,26.4,20.5,37-2023,ESP,Europe
Florianopolis,Brazil,2023,22,-27.58,-48.57,18.2,25.8,14.5,22-2023,BRA,Americas
Rome,Italy,2023,17,41.9,12.48,15.542857142857144,22.0,9.3,17-2023,ITA,Europe
Lima,Peru,2023,28,-12.05,-77.05,18.828571428571426,24.4,15.6,28-2023,PER,Americas
Barcelona,Spain,2023,11,41.38,2.18,14.057142857142855,21.6,11.1,11-2023,ESP,Europe
Medellin,Colombia,2022,48,6.29,-75.54,16.585714285714285,25.3,12.6,48-2022,COL,Americas
Berlin,Germany,2023,19,52.52,13.4,13.714285714285714,21.5,5.1,19-2023,DEU,Europe
Lima,Peru,2023,21,-12.05,-77.05,19.842857142857138,24.0,17.5,21-2023,PER,Americas
Florianopolis,Brazil,2023,15,-27.58,-48.57,21.671428571428574,29.8,18.2,15-2023,BRA,Americas
Rome,Italy,2023,32,41.9,12.48,24.5,32.5,18.5,32-2023,ITA,Europe
